"SIME DARBY PLANTATION","SIMEPLT","5285"
"SIME DARBY PROPERTY","SIMEPROP","5288"
"TENAGA NASIONAL","TENAGA","5347"
"DAIMAN DEVELOPMENT","DAIMAN","5355"
"KIM HIN INDUSTRY","KIMHIN","5371"
"GAMUDA","GAMUDA","5398"
"TROPICANA","TROP","5401"
"PERUSAHAAN SADUR TIMAH MALAYSIA (PERSTIMA)","PERSTIM","5436"
"SHANGRI-LA HOTELS","SHANG","5517"
"OCB","OCB","5533"
"APB RESOURCES","APB","5568"
"MINHO","MINHO","5576"
"YEE LEE","YEELEE","5584"
"GRAND CENTRAL ENTERPRISES","GCE","5592"
"IGB","IGBB","5606"
"INTEGRATED LOGISTICS","ILB","5614"
"TRIPLC","TRIPLC","5622"
"GOLDEN PHAROS","GPHAROS","5649"
"PARKSON","PARKSON","5657"
"SOUTHERN STEEL","SSTEEL","5665"
"IPMUDA","IPMUDA","5673"
"PETRONAS DAGANGAN","PETDAG","5681"
"MUHIBBAH ENGINEERING","MUHIBAH","5703"
"COUNTRY HEIGHTS","CHHB","5738"
"UTUSAN MELAYU","UTUSAN","5754"
"LBS BINA","LBS","5789"
"CHOO BEE METAL INDUSTRIES","CHOOBEE","5797"
"HONG LEONG BANK","HLBANK","5819"
"ORIENTAL INTEREST","OIB","5827"
"DOLOMITE","DOLMITE","5835"
"KUMPULAN PERANGSANG SELANGOR","KPS","5843"
"KPJ HEALTHCARE","KPJ","5878"
"MINTYE","MBG","5886"
"DKSH","DKSH","5908"
"MALAYSIA SMELTING","MSC","5916"
"MTD ACPI ENGINEERING","MTDACPI","5924"
"BINA PURI","BPURI","5932"
"AMVERTON","AMVERTON","5959"
"MBM RESOURCES","MBMR","5983"
"PACIFIC & ORIENT","P&O","6009"
"MAXIS","MAXIS","6012"
"SHL CONSOLIDATED","SHL","6017"
"BERJAYA MEDIA","BJMEDIA","6025"
"PETRONAS GAS","PETGAS","6033"
"FARLIM GROUP","FARLIM","6041"
"PCCS","PCCS","6068"
"ENCORP","ENCORP","6076"
"STAR MEDIA","STAR","6084"
"MKH","MKH","6114"
"SYARIKAT TAKAFUL MALAYSIA","TAKAFUL","6139"
"METROD","METROD","6149"
"BINA DARULAMAN","BDB","6173"
"MALTON","MALTON","6181"
"KHEE SAN","KHEESAN","6203"
"KIA LIM","KIALIM","6211"
"HOCK SENG LEE","HSL","6238"
"PDZ","PDZ","6254"
"INNOPRISE PLANTATIONS","INNO","6262"
"BOX-PAK","BOXPAK","6297"
"AMWAY","AMWAY","6351"
"WMG","WMG","6378"
"ASTRO MALAYSIA","ASTRO","6399"
"APOLLO FOOD","APOLLO","6432"
"MNRB","MNRB","6459"
"KENANGA INVESTMENT BANK","KENANGA","6483"
"KUMPULAN FIMA","KFIMA","6491"
"SURIA CAPITAL","SURIA","6521"
"MALAYSIA PACIFIC","MPCORP","6548"
"ANN JOO RESOURCES","ANNJOO","6556"
"KWANTAS","KWANTAS","6572"
"AEON CO.","AEON","6599"
"BCB","BCB","6602"
"PNE PCB","PNEPCB","6637"
"LINGKARAN TRANS KOTA","LITRAK","6645"
"CRESCENDO","CRESNDO","6718"
"YTL POWER","YTLPOWR","6742"
"JKG LAND","JKGLAND","6769"
"PUNCAK NIAGA","PUNCAK","6807"
"EUPE","EUPE","6815"
"KUB MALAYSIA","KUB","6874"
"AXIATA","AXIATA","6888"
"SUBUR TIASA","SUBUR","6904"
"PASDEC","PASDEC","6912"
"FIAMMA","FIAMMA","6939"
"DIGI.COM","DIGI","6947"
"V.S. INDUSTRY","VS","6963"
"KOBAY TECHNOLOGY","KOBAY","6971"
"BINTAI KINDEN","BINTAI","6998"
"Y&G","Y&G","7003"
"MCE","MCEHLDG","7004"
"B.I.G. INDUSTRIES","BIG","7005"
"LATITUDE TREE","LATITUD","7006"
"ARK RESOURCES","ARK","7007"
"GRAND HOOVER","HOOVER","7010"
"HUBLINE","HUBLINE","7013"
"YLI","YLI","7014"
"CHUAN HUAT RESOURCES","CHUAN","7016"
"KOMARKCORP","KOMARK","7017"
"CME","CME","7018"
"YKGI","YKGI","7020"
"GLOBETRONICS TECHNOLOGY","GTRONIC","7022"
"WOODLANDOR","WOODLAN","7025"
"PETROL ONE RESOURCES","PETONE","7027"
"ZECON","ZECON","7028"
